Event Id,Year,Month,Country,Region,State,City,Attack Type,Target,Nation,Gang Name,Weapon,Weapon Type
1.97E+11,1970,7,Dominican Republic,Central America & Caribbean,,Santo Domingo,Assassination,Private Citizens & Property,Dominican Republic,MANO-D,13,Unknown
1.97E+11,1970,2,Mexico,North America,,Mexico city,Hostage Taking (Kidnapping),Government (Diplomatic),Belgium,23rd of September Communist League,13,Unknown
1.97E+11,1970,1,Philippines,Southeast Asia,Tarlac,Unknown,Assassination,Journalists & Media,United States,Unknown,13,Unknown
1.97E+11,1970,1,Greece,Western Europe,Attica,Athens,Bombing/Explosion,Government (Diplomatic),United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,Japan,East Asia,,Fukouka,Facility/Infrastructure Attack,Government (Diplomatic),United States,Unknown,8,Incendiary
1.97E+11,1970,1,United States,North America,Illinois,Cairo,Armed Assault,Police,United States,Black Nationalists,5,Firearms
1.97E+11,1970,1,Uruguay,South America,Montevideo,Montevideo,Assassination,Police,Uruguay,Tupamaros (Uruguay),5,Firearms
1.97E+11,1970,1,United States,North America,California,Oakland,Bombing/Explosion,Utilities,United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Wisconsin,Madison,Facility/Infrastructure Attack,Military,United States,New Year's Gang,8,Incendiary
1.97E+11,1970,1,United States,North America,Wisconsin,Madison,Facility/Infrastructure Attack,Government (General),United States,New Year's Gang,8,Incendiary
1.97E+11,1970,1,United States,North America,Wisconsin,Baraboo,Bombing/Explosion,Military,United States,"Weather Underground, Weathermen",6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Colorado,Denver,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,1,Italy,Western Europe,Lazio,Rome,Hijacking,Airports & Aircraft,United States,Unknown,5,Firearms
1.97E+11,1970,1,United States,North America,Michigan,Detroit,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,8,Incendiary
1.97E+11,1970,1,United States,North America,Puerto Rico,Rio Piedras,Facility/Infrastructure Attack,Business,United States,Armed Commandos of Liberation,8,Incendiary
1.97E+11,1970,1,East Germany (GDR),Eastern Europe,,East Berlin,Bombing/Explosion,Government (General),Germany,Commune 1,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,Unknown,Military,United States,Eritrean Liberation Front,13,Unknown
1.97E+11,1970,1,United States,North America,New York,New York City,Bombing/Explosion,Educational Institution,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Puerto Rico,Rio Grande,Bombing/Explosion,Business,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Washington,Seattle,Facility/Infrastructure Attack,Business,United States,Black Nationalists,8,Incendiary
1.97E+11,1970,1,United States,North America,Illinois,Champaign,Facility/Infrastructure Attack,Police,United States,Black Nationalists,8,Incendiary
1.97E+11,1970,1,Uruguay,South America,Montevideo,Montevideo,Armed Assault,Educational Institution,Uruguay,Tupamaros (Uruguay),5,Firearms
1.97E+11,1970,1,United States,North America,Washington,Seattle,Bombing/Explosion,Educational Institution,United States,Black Nationalists,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Washington,Seattle,Bombing/Explosion,Military,United States,Student Radicals,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,New Jersey,Jersey City,Facility/Infrastructure Attack,Violent Political Party,United States,White extremists,8,Incendiary
1.97E+11,1970,1,Guatemala,Central America & Caribbean,,Guatemala City,Assassination,Government (Diplomatic),Great Britain,Unknown,13,Unknown
1.97E+11,1970,1,Philippines,Southeast Asia,Metropolitan Manila,Quezon City,Bombing/Explosion,Government (Diplomatic),United States,Unknown,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,Venezuela,South America,Caracas,Caracas,Hostage Taking (Kidnapping),Business,Venezuela,Armed Forces of National Liberation- Venezuela (FALN),13,Unknown
1.97E+11,1970,1,United States,North America,Nebraska,South Sioux City,Bombing/Explosion,Private Citizens & Property,United States,Strikers,6,Explosives/Bombs/Dynamite
1.97E+11,1970,1,United States,North America,Mississippi,West Point,Facility/Infrastructure Attack,Private Citizens & Property,United States,White extremists,8,Incendiary
1.97E+11,1970,1,United States,North America,New York,New York City,Armed Assault,Police,United States,Black Nationalists,5,Firearms
1.97E+11,1970,1,United States,North America,Mississippi,West Point,Bombing/Explosion,Government (General),United States,Black Nationalists,6,Explosives/Bombs/Dynamite
